,Unnamed: 0,Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores
0,0,200511010NOK,https://www.basketball-reference.com/boxscores/pbp/200511010NOK.html,New Orleans/Oklahoma City Hornets,Sacramento Kings,NOK,SAC,P. Brown,B. Miller,S. Abdur-Rahim,SAC,NOK,P. Stojaković,/players/s/stojape01.html,SAC,NOK,B. Miller,/players/m/millebr01.html,P. Brown,/players/b/brownpj01.html,1.0
1,1,200511010SAS,https://www.basketball-reference.com/boxscores/pbp/200511010SAS.html,San Antonio Spurs,Denver Nuggets,SAS,DEN,R. Nesterović,M. Camby,K. Martin,DEN,SAS,V. Lenard,/players/l/lenarvo01.html,DEN,SAS,M. Camby,/players/c/cambyma01.html,R. Nesterović,/players/n/nestera01.html,1.0
2,2,200511010PHO,https://www.basketball-reference.com/boxscores/pbp/200511010PHO.html,Phoenix Suns,Dallas Mavericks,PHO,DAL,K. Thomas,E. Dampier,K. Thomas,DAL,PHO,J. Terry,/players/t/terryja01.html,PHO,DAL,E. Dampier,/players/d/dampier01.html,K. Thomas,/players/t/thomaku01.html,0.0
3,3,200511020CLE,https://www.basketball-reference.com/boxscores/pbp/200511020CLE.html,Cleveland Cavaliers,New Orleans/Oklahoma City Hornets,CLE,NOK,Z. Ilgauskas,P. Brown,D. West,NOK,CLE,B. Nachbar,/players/n/nachbbo01.html,NOK,CLE,P. Brown,/players/b/brownpj01.html,Z. Ilgauskas,/players/i/ilgauzy01.html,1.0
4,4,200511020ORL,https://www.basketball-reference.com/boxscores/pbp/200511020ORL.html,Orlando Magic,Indiana Pacers,ORL,IND,D. Howard,J. O'Neal,J. O'Neal,IND,ORL,J. Tinsley,/players/t/tinslja01.html,IND,ORL,J. O'Neal,/players/o/onealje01.html,D. Howard,/players/h/howardw01.html,1.0
5,5,200511020TOR,https://www.basketball-reference.com/boxscores/pbp/200511020TOR.html,Toronto Raptors,Washington Wizards,TOR,WAS,C. Bosh,J. Jeffries,G. Arenas,WAS,TOR,G. Arenas,/players/a/arenagi01.html,WAS,TOR,J. Jeffries,/players/j/jeffrja01.html,C. Bosh,/players/b/boshch01.html,1.0
6,6,200511020BOS,https://www.basketball-reference.com/boxscores/pbp/200511020BOS.html,Boston Celtics,New York Knicks,BOS,NYK,M. Blount,E. Curry,E. Curry,NYK,BOS,S. Marbury,/players/m/marbust01.html,NYK,BOS,E. Curry,/players/c/curryed01.html,M. Blount,/players/b/blounma01.html,1.0
7,7,200511020NJN,https://www.basketball-reference.com/boxscores/pbp/200511020NJN.html,New Jersey Nets,Milwaukee Bucks,NJN,MIL,J. Collins,A. Bogut,J. Collins,MIL,NJN,B. Simmons,/players/s/simmobo01.html,NJN,MIL,A. Bogut,/players/b/bogutan01.html,J. Collins,/players/c/collija04.html,0.0
8,8,200511020DET,https://www.basketball-reference.com/boxscores/pbp/200511020DET.html,Detroit Pistons,Philadelphia 76ers,DET,PHI,B. Wallace,S. Hunter,R. Hamilton,DET,PHI,C. Billups,/players/b/billuch01.html,DET,PHI,B. Wallace,/players/w/wallabe01.html,S. Hunter,/players/h/huntest01.html,1.0
9,9,200511020MEM,https://www.basketball-reference.com/boxscores/pbp/200511020MEM.html,Memphis Grizzlies,Miami Heat,MEM,MIA,P. Gasol,S. O'Neal,J. Williams,MIA,MEM,J. Williams,/players/w/willija02.html,MIA,MEM,S. O'Neal,/players/o/onealsh01.html,P. Gasol,/players/g/gasolpa01.html,1.0
10,10,200511020MIN,https://www.basketball-reference.com/boxscores/pbp/200511020MIN.html,Minnesota Timberwolves,Portland Trail Blazers,MIN,POR,K. Garnett,J. Przybilla,M. Jarić,MIN,POR,M. Jarić,/players/j/jaricma01.html,MIN,POR,K. Garnett,/players/g/garneke01.html,J. Przybilla,/players/p/przybjo01.html,1.0
11,11,200511020CHI,https://www.basketball-reference.com/boxscores/pbp/200511020CHI.html,Chicago Bulls,Charlotte Bobcats,CHI,CHA,T. Chandler,E. Okafor,G. Wallace,CHI,CHA,C. Duhon,/players/d/duhonch01.html,CHA,CHI,T. Chandler,/players/c/chandty01.html,E. Okafor,/players/o/okafoem01.html,0.0
12,12,200511020HOU,https://www.basketball-reference.com/boxscores/pbp/200511020HOU.html,Houston Rockets,Sacramento Kings,HOU,SAC,Y. Ming,B. Miller,Y. Ming,HOU,SAC,J. Howard,/players/h/howarju01.html,HOU,SAC,Y. Ming,/players/m/mingya01.html,B. Miller,/players/m/millebr01.html,1.0
13,13,200511020UTA,https://www.basketball-reference.com/boxscores/pbp/200511020UTA.html,Utah Jazz,Dallas Mavericks,UTA,DAL,G. Ostertag,E. Dampier,J. Howard,DAL,UTA,D. Nowitzki,/players/n/nowitdi01.html,DAL,UTA,E. Dampier,/players/d/dampier01.html,G. Ostertag,/players/o/ostergr01.html,1.0
14,14,200511020SEA,https://www.basketball-reference.com/boxscores/pbp/200511020SEA.html,Seattle SuperSonics,Los Angeles Clippers,SEA,LAC,J. Petro,C. Kaman,J. Petro,SEA,LAC,L. Ridnour,/players/r/ridnolu01.html,SEA,LAC,J. Petro,/players/p/petrojo01.html,C. Kaman,/players/k/kamanch01.html,1.0
15,15,200511020DEN,https://www.basketball-reference.com/boxscores/pbp/200511020DEN.html,Denver Nuggets,Los Angeles Lakers,DEN,LAL,M. Camby,C. Mihm,V. Lenard,DEN,LAL,A. Miller,/players/m/millean02.html,DEN,LAL,M. Camby,/players/c/cambyma01.html,C. Mihm,/players/m/mihmch01.html,1.0
16,16,200511020GSW,https://www.basketball-reference.com/boxscores/pbp/200511020GSW.html,Golden State Warriors,Atlanta Hawks,GSW,ATL,A. Foyle,J. Smith,J. Johnson,ATL,GSW,Z. Pachulia,/players/p/pachuza01.html,ATL,GSW,J. Smith,/players/s/smithjo03.html,A. Foyle,/players/f/foylead01.html,1.0
17,17,200511030MIA,https://www.basketball-reference.com/boxscores/pbp/200511030MIA.html,Miami Heat,Indiana Pacers,MIA,IND,S. O'Neal,J. O'Neal,U. Haslem,MIA,IND,J. Williams,/players/w/willija02.html,MIA,IND,S. O'Neal,/players/o/onealsh01.html,J. O'Neal,/players/o/onealje01.html,1.0
18,18,200511030LAL,https://www.basketball-reference.com/boxscores/pbp/200511030LAL.html,Los Angeles Lakers,Phoenix Suns,LAL,PHO,K. Brown,K. Thomas,S. Parker,LAL,PHO,D. George,/players/g/georgde01.html,LAL,PHO,K. Brown,/players/b/brownkw01.html,K. Thomas,/players/t/thomaku01.html,1.0
19,19,200511040ORL,https://www.basketball-reference.com/boxscores/pbp/200511040ORL.html,Orlando Magic,Memphis Grizzlies,ORL,MEM,D. Howard,P. Gasol,S. Francis,ORL,MEM,H. Türkoğlu,/players/t/turkohe01.html,ORL,MEM,D. Howard,/players/h/howardw01.html,P. Gasol,/players/g/gasolpa01.html,1.0
20,20,200511040PHI,https://www.basketball-reference.com/boxscores/pbp/200511040PHI.html,Philadelphia 76ers,Charlotte Bobcats,PHI,CHA,S. Hunter,E. Okafor,B. Knight,PHI,CHA,K. Korver,/players/k/korveky01.html,CHA,PHI,S. Hunter,/players/h/huntest01.html,E. Okafor,/players/o/okafoem01.html,0.0
21,21,200511040TOR,https://www.basketball-reference.com/boxscores/pbp/200511040TOR.html,Toronto Raptors,New Jersey Nets,TOR,NJN,C. Bosh,J. Collins,J. Graham,NJN,TOR,J. Kidd,/players/k/kiddja01.html,TOR,NJN,J. Collins,/players/c/collija04.html,C. Bosh,/players/b/boshch01.html,0.0
22,22,200511040BOS,https://www.basketball-reference.com/boxscores/pbp/200511040BOS.html,Boston Celtics,Detroit Pistons,BOS,DET,M. Blount,B. Wallace,R. Wallace,DET,BOS,C. Billups,/players/b/billuch01.html,DET,BOS,B. Wallace,/players/w/wallabe01.html,M. Blount,/players/b/blounma01.html,1.0
23,23,200511040NYK,https://www.basketball-reference.com/boxscores/pbp/200511040NYK.html,New York Knicks,Washington Wizards,NYK,WAS,E. Curry,J. Jeffries,B. Haywood,NYK,WAS,S. Marbury,/players/m/marbust01.html,WAS,NYK,E. Curry,/players/c/curryed01.html,J. Jeffries,/players/j/jeffrja01.html,0.0
24,24,200511040SAS,https://www.basketball-reference.com/boxscores/pbp/200511040SAS.html,San Antonio Spurs,Cleveland Cavaliers,SAS,CLE,R. Nesterović,Z. Ilgauskas,L. James,CLE,SAS,L. Hughes,/players/h/hughela01.html,CLE,SAS,Z. Ilgauskas,/players/i/ilgauzy01.html,R. Nesterović,/players/n/nestera01.html,1.0
25,25,200511040DEN,https://www.basketball-reference.com/boxscores/pbp/200511040DEN.html,Denver Nuggets,Portland Trail Blazers,DEN,POR,M. Camby,J. Przybilla,K. Martin,DEN,POR,A. Miller,/players/m/millean02.html,DEN,POR,M. Camby,/players/c/cambyma01.html,J. Przybilla,/players/p/przybjo01.html,1.0
26,26,200511040GSW,https://www.basketball-reference.com/boxscores/pbp/200511040GSW.html,Golden State Warriors,Utah Jazz,GSW,UTA,A. Foyle,G. Ostertag,G. Giriček,UTA,GSW,M. Okur,/players/o/okurme01.html,UTA,GSW,G. Ostertag,/players/o/ostergr01.html,A. Foyle,/players/f/foylead01.html,1.0
27,27,200511040LAC,https://www.basketball-reference.com/boxscores/pbp/200511040LAC.html,Los Angeles Clippers,Atlanta Hawks,LAC,ATL,C. Kaman,J. Smith,Z. Pachulia,ATL,LAC,J. Johnson,/players/j/johnsjo02.html,ATL,LAC,J. Smith,/players/s/smithjo03.html,C. Kaman,/players/k/kamanch01.html,1.0
28,28,200511040SEA,https://www.basketball-reference.com/boxscores/pbp/200511040SEA.html,Seattle SuperSonics,Minnesota Timberwolves,SEA,MIN,J. Petro,K. Garnett,J. Petro,SEA,MIN,R. Lewis,/players/l/lewisra02.html,SEA,MIN,J. Petro,/players/p/petrojo01.html,K. Garnett,/players/g/garneke01.html,1.0
29,29,200511050WAS,https://www.basketball-reference.com/boxscores/pbp/200511050WAS.html,Washington Wizards,Orlando Magic,WAS,ORL,J. Jeffries,D. Howard,S. Francis,WAS,ORL,A. Daniels,/players/d/daniean01.html,ORL,WAS,J. Jeffries,/players/j/jeffrja01.html,D. Howard,/players/h/howardw01.html,0.0
30,30,200511050CHA,https://www.basketball-reference.com/boxscores/pbp/200511050CHA.html,Charlotte Bobcats,Boston Celtics,CHA,BOS,E. Okafor,M. Blount,R. Davis,BOS,CHA,R. LaFrentz,/players/l/lafrera01.html,BOS,CHA,M. Blount,/players/b/blounma01.html,E. Okafor,/players/o/okafoem01.html,1.0
31,31,200511050DET,https://www.basketball-reference.com/boxscores/pbp/200511050DET.html,Detroit Pistons,Toronto Raptors,DET,TOR,B. Wallace,C. Bosh,R. Hamilton,DET,TOR,C. Billups,/players/b/billuch01.html,DET,TOR,B. Wallace,/players/w/wallabe01.html,C. Bosh,/players/b/boshch01.html,1.0
32,32,200511050NJN,https://www.basketball-reference.com/boxscores/pbp/200511050NJN.html,New Jersey Nets,Chicago Bulls,NJN,CHI,J. Collins,T. Chandler,N. Krstić,NJN,CHI,J. Kidd,/players/k/kiddja01.html,NJN,CHI,J. Collins,/players/c/collija04.html,T. Chandler,/players/c/chandty01.html,1.0
33,33,200511050IND,https://www.basketball-reference.com/boxscores/pbp/200511050IND.html,Indiana Pacers,Philadelphia 76ers,IND,PHI,Jermaine O'Neal,Steven Hunter,Jermaine O'Neal,IND,PHI,,,IND,PHI,Jermaine O'Neal,/players/o/onealje01.html,Steven Hunter,/players/h/huntest01.html,1.0
34,34,200511050MEM,https://www.basketball-reference.com/boxscores/pbp/200511050MEM.html,Memphis Grizzlies,Cleveland Cavaliers,MEM,CLE,P. Gasol,Z. Ilgauskas,E. Jones,MEM,CLE,L. Wright,/players/w/wrighlo02.html,MEM,CLE,P. Gasol,/players/g/gasolpa01.html,Z. Ilgauskas,/players/i/ilgauzy01.html,1.0
35,35,200511050DAL,https://www.basketball-reference.com/boxscores/pbp/200511050DAL.html,Dallas Mavericks,San Antonio Spurs,DAL,SAS,E. Dampier,R. Nesterović,J. Howard,DAL,SAS,D. Nowitzki,/players/n/nowitdi01.html,DAL,SAS,E. Dampier,/players/d/dampier01.html,R. Nesterović,/players/n/nestera01.html,1.0
36,36,200511050HOU,https://www.basketball-reference.com/boxscores/pbp/200511050HOU.html,Houston Rockets,New Orleans/Oklahoma City Hornets,HOU,NOK,Y. Ming,P. Brown,Y. Ming,NOK,HOU,D. West,/players/w/westda01.html,HOU,NOK,P. Brown,/players/b/brownpj01.html,Y. Ming,/players/m/mingya01.html,0.0
37,37,200511050MIL,https://www.basketball-reference.com/boxscores/pbp/200511050MIL.html,Milwaukee Bucks,Miami Heat,MIL,MIA,J. Magloire,A. Mourning,A. Mourning,MIA,MIL,U. Haslem,/players/h/hasleud01.html,MIA,MIL,A. Mourning,/players/m/mournal01.html,J. Magloire,/players/m/magloja01.html,1.0
38,38,200511050UTA,https://www.basketball-reference.com/boxscores/pbp/200511050UTA.html,Utah Jazz,Phoenix Suns,UTA,PHO,G. Ostertag,K. Thomas,A. Kirilenko,UTA,PHO,K. McLeod,/players/m/mcleoke01.html,UTA,PHO,G. Ostertag,/players/o/ostergr01.html,K. Thomas,/players/t/thomaku01.html,1.0
39,39,200511050POR,https://www.basketball-reference.com/boxscores/pbp/200511050POR.html,Portland Trail Blazers,Atlanta Hawks,POR,ATL,J. Przybilla,Z. Pachulia,S. Monia,ATL,POR,E. Batista,/players/b/batises01.html,POR,ATL,Z. Pachulia,/players/p/pachuza01.html,J. Przybilla,/players/p/przybjo01.html,0.0
40,40,200511050LAC,https://www.basketball-reference.com/boxscores/pbp/200511050LAC.html,Los Angeles Clippers,Minnesota Timberwolves,LAC,MIN,C. Kaman,K. Garnett,C. Kaman,LAC,MIN,E. Brand,/players/b/brandel01.html,LAC,MIN,C. Kaman,/players/k/kamanch01.html,K. Garnett,/players/g/garneke01.html,1.0
41,41,200511060NYK,https://www.basketball-reference.com/boxscores/pbp/200511060NYK.html,New York Knicks,Golden State Warriors,NYK,GSW,J. James,A. Foyle,E. Curry,NYK,GSW,S. Marbury,/players/m/marbust01.html,NYK,GSW,J. James,/players/j/jamesje01.html,A. Foyle,/players/f/foylead01.html,1.0
42,42,200511060PHO,https://www.basketball-reference.com/boxscores/pbp/200511060PHO.html,Phoenix Suns,Sacramento Kings,PHO,SAC,Brad Miller,Brad Miller,Kurt Thomas,PHO,SAC,,,PHO,SAC,Brad Miller,/players/m/millebr01.html,Brad Miller,/players/m/millebr01.html,1.0
43,43,200511060LAL,https://www.basketball-reference.com/boxscores/pbp/200511060LAL.html,Los Angeles Lakers,Denver Nuggets,LAL,DEN,Chris Mihm,Marcus Camby,Andre Miller,LAL,DEN,,,DEN,LAL,Chris Mihm,/players/m/mihmch01.html,Marcus Camby,/players/c/cambyma01.html,0.0
44,44,200511070TOR,https://www.basketball-reference.com/boxscores/pbp/200511070TOR.html,Toronto Raptors,Cleveland Cavaliers,TOR,CLE,C. Bosh,Z. Ilgauskas,E. Snow,CLE,TOR,D. Gooden,/players/g/goodedr01.html,CLE,TOR,Z. Ilgauskas,/players/i/ilgauzy01.html,C. Bosh,/players/b/boshch01.html,1.0
45,45,200511070CHA,https://www.basketball-reference.com/boxscores/pbp/200511070CHA.html,Charlotte Bobcats,Utah Jazz,CHA,UTA,E. Okafor,G. Ostertag,G. Giriček,UTA,CHA,M. Okur,/players/o/okurme01.html,UTA,CHA,G. Ostertag,/players/o/ostergr01.html,E. Okafor,/players/o/okafoem01.html,1.0
46,46,200511070MIA,https://www.basketball-reference.com/boxscores/pbp/200511070MIA.html,Miami Heat,New Jersey Nets,MIA,NJN,A. Mourning,J. Collins,A. Walker,MIA,NJN,J. Williams,/players/w/willija02.html,MIA,NJN,A. Mourning,/players/m/mournal01.html,J. Collins,/players/c/collija04.html,1.0
47,47,200511070MIN,https://www.basketball-reference.com/boxscores/pbp/200511070MIN.html,Minnesota Timberwolves,Los Angeles Clippers,MIN,LAC,K. Garnett,C. Kaman,M. Olowokandi,MIN,LAC,M. Olowokandi,/players/o/olowomi01.html,MIN,LAC,K. Garnett,/players/g/garneke01.html,C. Kaman,/players/k/kamanch01.html,1.0
48,48,200511070CHI,https://www.basketball-reference.com/boxscores/pbp/200511070CHI.html,Chicago Bulls,San Antonio Spurs,CHI,SAS,T. Chandler,R. Nesterović,T. Duncan,SAS,CHI,T. Parker,/players/p/parketo01.html,SAS,CHI,R. Nesterović,/players/n/nestera01.html,T. Chandler,/players/c/chandty01.html,1.0
49,49,200511080ATL,https://www.basketball-reference.com/boxscores/pbp/200511080ATL.html,Atlanta Hawks,Los Angeles Lakers,ATL,LAL,Z. Pachulia,C. Mihm,K. Brown,LAL,ATL,S. Parker,/players/p/parkesm01.html,LAL,ATL,C. Mihm,/players/m/mihmch01.html,Z. Pachulia,/players/p/pachuza01.html,1.0
50,50,200511080MEM,https://www.basketball-reference.com/boxscores/pbp/200511080MEM.html,Memphis Grizzlies,Seattle SuperSonics,MEM,SEA,P. Gasol,J. Petro,S. Battier,MEM,SEA,D. Stoudamire,/players/s/stoudda01.html,MEM,SEA,P. Gasol,/players/g/gasolpa01.html,J. Petro,/players/p/petrojo01.html,1.0
51,51,200511080MIL,https://www.basketball-reference.com/boxscores/pbp/200511080MIL.html,Milwaukee Bucks,Golden State Warriors,MIL,GSW,J. Magloire,A. Foyle,B. Davis,GSW,MIL,T. Murphy,/players/m/murphtr01.html,GSW,MIL,A. Foyle,/players/f/foylead01.html,J. Magloire,/players/m/magloja01.html,1.0
52,52,200511080HOU,https://www.basketball-reference.com/boxscores/pbp/200511080HOU.html,Houston Rockets,Orlando Magic,HOU,ORL,Y. Ming,D. Howard,Y. Ming,HOU,ORL,J. Howard,/players/h/howarju01.html,HOU,ORL,Y. Ming,/players/m/mingya01.html,D. Howard,/players/h/howardw01.html,1.0
53,53,200511080SAC,https://www.basketball-reference.com/boxscores/pbp/200511080SAC.html,Sacramento Kings,Detroit Pistons,SAC,DET,B. Miller,B. Wallace,B. Miller,DET,SAC,T. Prince,/players/p/princta01.html,SAC,DET,B. Wallace,/players/w/wallabe01.html,B. Miller,/players/m/millebr01.html,0.0
54,54,200511090CLE,https://www.basketball-reference.com/boxscores/pbp/200511090CLE.html,Cleveland Cavaliers,Seattle SuperSonics,CLE,SEA,Z. Ilgauskas,V. Potapenko,L. Ridnour,SEA,CLE,V. Potapenko,/players/p/potapvi01.html,SEA,CLE,V. Potapenko,/players/p/potapvi01.html,Z. Ilgauskas,/players/i/ilgauzy01.html,1.0
55,55,200511090PHI,https://www.basketball-reference.com/boxscores/pbp/200511090PHI.html,Philadelphia 76ers,Dallas Mavericks,PHI,DAL,S. Hunter,E. Dampier,S. Hunter,DAL,PHI,D. Nowitzki,/players/n/nowitdi01.html,PHI,DAL,E. Dampier,/players/d/dampier01.html,S. Hunter,/players/h/huntest01.html,0.0
56,56,200511090WAS,https://www.basketball-reference.com/boxscores/pbp/200511090WAS.html,Washington Wizards,Los Angeles Clippers,WAS,LAC,J. Jeffries,C. Kaman,A. Jamison,WAS,LAC,J. Hayes,/players/h/hayesja01.html,WAS,LAC,J. Jeffries,/players/j/jeffrja01.html,C. Kaman,/players/k/kamanch01.html,1.0
57,57,200511090BOS,https://www.basketball-reference.com/boxscores/pbp/200511090BOS.html,Boston Celtics,Memphis Grizzlies,BOS,MEM,M. Blount,P. Gasol,E. Jones,BOS,MEM,D. West,/players/w/westde01.html,MEM,BOS,M. Blount,/players/b/blounma01.html,P. Gasol,/players/g/gasolpa01.html,0.0
58,58,200511090CHA,https://www.basketball-reference.com/boxscores/pbp/200511090CHA.html,Charlotte Bobcats,San Antonio Spurs,CHA,SAS,E. Okafor,R. Nesterović,E. Okafor,CHA,SAS,M. Carroll,/players/c/carroma01.html,CHA,SAS,E. Okafor,/players/o/okafoem01.html,R. Nesterović,/players/n/nestera01.html,1.0
59,59,200511090NJN,https://www.basketball-reference.com/boxscores/pbp/200511090NJN.html,New Jersey Nets,Utah Jazz,NJN,UTA,J. Collins,G. Ostertag,A. Kirilenko,UTA,NJN,M. Okur,/players/o/okurme01.html,UTA,NJN,G. Ostertag,/players/o/ostergr01.html,J. Collins,/players/c/collija04.html,1.0
60,60,200511090IND,https://www.basketball-reference.com/boxscores/pbp/200511090IND.html,Indiana Pacers,Miami Heat,IND,MIA,J. O'Neal,A. Mourning,D. Wade,IND,MIA,J. Tinsley,/players/t/tinslja01.html,MIA,IND,J. O'Neal,/players/o/onealje01.html,A. Mourning,/players/m/mournal01.html,0.0
61,61,200511090MIN,https://www.basketball-reference.com/boxscores/pbp/200511090MIN.html,Minnesota Timberwolves,Los Angeles Lakers,MIN,LAL,K. Garnett,C. Mihm,M. Olowokandi,LAL,MIN,K. Bryant,/players/b/bryanko01.html,MIN,LAL,C. Mihm,/players/m/mihmch01.html,K. Garnett,/players/g/garneke01.html,0.0
62,63,200511090CHI,https://www.basketball-reference.com/boxscores/pbp/200511090CHI.html,Chicago Bulls,Golden State Warriors,CHI,GSW,T. Chandler,A. Foyle,T. Murphy,GSW,CHI,T. Murphy,/players/m/murphtr01.html,GSW,CHI,A. Foyle,/players/f/foylead01.html,T. Chandler,/players/c/chandty01.html,1.0
63,64,200511090POR,https://www.basketball-reference.com/boxscores/pbp/200511090POR.html,Portland Trail Blazers,New York Knicks,POR,NYK,J. Przybilla,E. Curry,S. Marbury,POR,NYK,S. Monia,/players/m/moniase01.html,NYK,POR,J. Przybilla,/players/p/przybjo01.html,E. Curry,/players/c/curryed01.html,0.0
64,65,200511090DEN,https://www.basketball-reference.com/boxscores/pbp/200511090DEN.html,Denver Nuggets,Sacramento Kings,DEN,SAC,M. Camby,B. Miller,K. Martin,DEN,SAC,A. Miller,/players/m/millean02.html,DEN,SAC,M. Camby,/players/c/cambyma01.html,B. Miller,/players/m/millebr01.html,1.0
65,66,200511100ATL,https://www.basketball-reference.com/boxscores/pbp/200511100ATL.html,Atlanta Hawks,Los Angeles Clippers,ATL,LAC,Z. Pachulia,C. Kaman,J. Johnson,LAC,ATL,S. Cassell,/players/c/cassesa01.html,ATL,LAC,C. Kaman,/players/k/kamanch01.html,Z. Pachulia,/players/p/pachuza01.html,0.0
66,67,200511100MIA,https://www.basketball-reference.com/boxscores/pbp/200511100MIA.html,Miami Heat,Houston Rockets,MIA,HOU,A. Mourning,Y. Ming,J. Howard,HOU,MIA,R. Alston,/players/a/alstora01.html,HOU,MIA,Y. Ming,/players/m/mingya01.html,A. Mourning,/players/m/mournal01.html,1.0
67,68,200511100PHO,https://www.basketball-reference.com/boxscores/pbp/200511100PHO.html,Phoenix Suns,Detroit Pistons,PHO,DET,K. Thomas,B. Wallace,S. Marion,DET,PHO,C. Billups,/players/b/billuch01.html,PHO,DET,B. Wallace,/players/w/wallabe01.html,K. Thomas,/players/t/thomaku01.html,0.0
68,69,200511110IND,https://www.basketball-reference.com/boxscores/pbp/200511110IND.html,Indiana Pacers,New Jersey Nets,IND,NJN,J. O'Neal,N. Krstić,S. Jackson,IND,NJN,A. Croshere,/players/c/croshau01.html,IND,NJN,J. O'Neal,/players/o/onealje01.html,N. Krstić,/players/k/krstine01.html,1.0
69,70,200511110TOR,https://www.basketball-reference.com/boxscores/pbp/200511110TOR.html,Toronto Raptors,Utah Jazz,TOR,UTA,C. Bosh,G. Ostertag,J. Graham,TOR,UTA,M. James,/players/j/jamesmi01.html,TOR,UTA,C. Bosh,/players/b/boshch01.html,G. Ostertag,/players/o/ostergr01.html,1.0
70,71,200511110BOS,https://www.basketball-reference.com/boxscores/pbp/200511110BOS.html,Boston Celtics,San Antonio Spurs,BOS,SAS,M. Blount,T. Duncan,T. Parker,BOS,SAS,R. LaFrentz,/players/l/lafrera01.html,SAS,BOS,M. Blount,/players/b/blounma01.html,T. Duncan,/players/d/duncati01.html,0.0
71,72,200511110CHA,https://www.basketball-reference.com/boxscores/pbp/200511110CHA.html,Charlotte Bobcats,Dallas Mavericks,CHA,DAL,E. Okafor,E. Dampier,J. Howard,DAL,CHA,J. Terry,/players/t/terryja01.html,DAL,CHA,E. Dampier,/players/d/dampier01.html,E. Okafor,/players/o/okafoem01.html,1.0
72,73,200511110CLE,https://www.basketball-reference.com/boxscores/pbp/200511110CLE.html,Cleveland Cavaliers,Memphis Grizzlies,CLE,MEM,Z. Ilgauskas,P. Gasol,D. Stoudamire,CLE,MEM,L. Hughes,/players/h/hughela01.html,MEM,CLE,Z. Ilgauskas,/players/i/ilgauzy01.html,P. Gasol,/players/g/gasolpa01.html,0.0
73,74,200511110WAS,https://www.basketball-reference.com/boxscores/pbp/200511110WAS.html,Washington Wizards,Seattle SuperSonics,WAS,SEA,J. Jeffries,V. Potapenko,R. Lewis,SEA,WAS,R. Evans,/players/e/evansre01.html,SEA,WAS,V. Potapenko,/players/p/potapvi01.html,J. Jeffries,/players/j/jeffrja01.html,1.0
74,75,200511110PHI,https://www.basketball-reference.com/boxscores/pbp/200511110PHI.html,Philadelphia 76ers,Los Angeles Lakers,PHI,LAL,S. Hunter,C. Mihm,K. Korver,PHI,LAL,A. Iverson,/players/i/iversal01.html,PHI,LAL,S. Hunter,/players/h/huntest01.html,C. Mihm,/players/m/mihmch01.html,1.0
75,76,200511110SAC,https://www.basketball-reference.com/boxscores/pbp/200511110SAC.html,Sacramento Kings,Denver Nuggets,SAC,DEN,B. Miller,M. Camby,C. Anthony,DEN,SAC,A. Miller,/players/m/millean02.html,DEN,SAC,M. Camby,/players/c/cambyma01.html,B. Miller,/players/m/millebr01.html,1.0
76,77,200511110GSW,https://www.basketball-reference.com/boxscores/pbp/200511110GSW.html,Golden State Warriors,New York Knicks,GSW,NYK,A. Foyle,E. Curry,S. Marbury,NYK,GSW,S. Marbury,/players/m/marbust01.html,NYK,GSW,E. Curry,/players/c/curryed01.html,A. Foyle,/players/f/foylead01.html,1.0
77,78,200511110POR,https://www.basketball-reference.com/boxscores/pbp/200511110POR.html,Portland Trail Blazers,Detroit Pistons,POR,DET,J. Przybilla,B. Wallace,Z. Randolph,POR,DET,S. Telfair,/players/t/telfase01.html,POR,DET,J. Przybilla,/players/p/przybjo01.html,B. Wallace,/players/w/wallabe01.html,1.0
78,79,200511120ATL,https://www.basketball-reference.com/boxscores/pbp/200511120ATL.html,Atlanta Hawks,Memphis Grizzlies,ATL,MEM,Z. Pachulia,P. Gasol,Z. Pachulia,ATL,MEM,T. Lue,/players/l/luety01.html,ATL,MEM,Z. Pachulia,/players/p/pachuza01.html,P. Gasol,/players/g/gasolpa01.html,1.0
79,80,200511120WAS,https://www.basketball-reference.com/boxscores/pbp/200511120WAS.html,Washington Wizards,San Antonio Spurs,WAS,SAS,J. Jeffries,R. Nesterović,G. Arenas,SAS,WAS,B. Bowen,/players/b/bowenbr01.html,WAS,SAS,R. Nesterović,/players/n/nestera01.html,J. Jeffries,/players/j/jeffrja01.html,0.0
80,81,200511120MIA,https://www.basketball-reference.com/boxscores/pbp/200511120MIA.html,Miami Heat,Charlotte Bobcats,MIA,CHA,A. Mourning,E. Okafor,J. Posey,MIA,CHA,J. Williams,/players/w/willija02.html,MIA,CHA,A. Mourning,/players/m/mournal01.html,E. Okafor,/players/o/okafoem01.html,1.0
81,82,200511120NJN,https://www.basketball-reference.com/boxscores/pbp/200511120NJN.html,New Jersey Nets,Houston Rockets,NJN,HOU,N. Krstić,Y. Ming,N. Krstić,NJN,HOU,J. Kidd,/players/k/kiddja01.html,NJN,HOU,N. Krstić,/players/k/krstine01.html,Y. Ming,/players/m/mingya01.html,1.0
